iter	Passed	Remaining
0	0	856
1	1	732
2	2	683
3	2	660
4	3	642
5	3	642
6	4	660
7	5	657
8	5	651
9	6	641
10	7	631
11	7	624
12	8	618
13	8	611
14	9	609
15	10	619
16	10	617
17	11	617
18	11	614
19	12	609
20	13	610
21	13	608
22	14	606
23	14	602
24	15	598
25	15	596
26	16	593
27	17	593
28	17	593
29	18	590
30	18	590
31	19	589
32	20	588
33	20	584
34	21	583
35	21	581
36	22	579
37	22	577
38	23	581
39	24	585
40	25	587
41	25	590
42	26	593
43	27	597
44	28	599
45	29	601
46	29	605
47	30	610
48	31	612
49	32	615
50	33	619
51	34	621
52	34	624
53	35	626
54	36	628
55	37	629
56	38	631
57	38	632
58	39	633
59	40	634
60	41	635
61	42	636
62	43	639
63	43	639
64	44	638
65	45	640
66	45	640
67	46	641
68	47	641
69	48	642
70	49	643
71	50	644
72	50	644
73	51	644
74	52	645
75	53	645
76	53	644
77	54	645
78	55	646
79	56	646
80	57	646
81	57	647
82	58	643
83	58	642
84	59	643
85	60	642
86	61	643
87	61	641
88	62	639
89	62	636
90	63	633
91	63	630
92	64	628
93	64	625
94	65	622
95	65	620
96	66	618
97	67	616
98	67	615
99	68	615
100	68	613
101	69	611
102	70	610
103	70	608
104	71	607
105	71	606
106	72	605
107	73	603
108	73	602
109	74	602
110	75	600
111	75	599
112	76	597
113	76	596
114	77	594
115	77	592
116	78	590
117	78	588
118	79	587
119	79	586
120	80	585
121	81	583
122	81	582
123	82	580
124	82	579
125	83	577
126	83	575
127	84	574
128	84	572
129	85	570
130	85	568
131	86	567
132	87	567
133	87	566
134	88	565
135	88	563
136	89	562
137	89	561
138	90	559
139	90	557
140	91	556
141	91	553
142	92	552
143	92	551
144	93	550
145	93	549
146	94	547
147	94	546
148	95	544
149	95	543
150	96	542
151	96	540
152	97	539
153	97	537
154	98	536
155	99	535
156	99	535
157	100	534
158	100	532
159	101	531
160	101	529
161	102	528
162	102	527
163	103	528
164	104	527
165	104	525
166	105	525
167	105	524
168	106	523
169	107	522
170	107	521
171	108	521
172	108	520
173	109	518
174	109	517
175	110	516
176	110	514
177	111	513
178	111	513
179	112	512
180	113	511
181	113	511
182	114	510
183	114	509
184	115	508
185	116	507
186	116	507
187	117	506
188	117	505
189	118	505
190	119	505
191	119	504
192	120	503
193	121	502
194	121	501
195	121	500
196	122	499
197	123	498
198	123	497
199	123	495
200	124	495
201	125	494
202	125	494
203	126	493
204	127	492
205	127	492
206	128	490
207	128	490
208	129	489
209	129	487
210	130	486
211	130	486
212	131	486
213	132	485
214	132	484
215	133	483
216	133	482
217	134	481
218	134	480
219	135	479
220	135	478
221	136	477
222	136	476
223	137	476
224	138	475
225	138	475
226	139	474
227	139	473
228	140	472
229	140	471
230	141	470
231	141	469
232	142	468
233	142	467
234	143	466
235	144	466
236	144	465
237	145	464
238	145	464
239	146	463
240	146	462
241	147	462
242	148	461
243	148	460
244	149	459
245	149	459
246	150	459
247	151	458
248	151	457
249	152	457
250	152	456
251	153	455
252	153	454
253	154	453
254	154	452
255	155	450
256	155	450
257	156	449
258	156	448
259	157	448
260	158	447
261	158	446
262	158	445
263	159	444
264	159	443
265	160	442
266	160	441
267	161	440
268	161	439
269	162	439
270	163	438
271	163	438
272	164	437
273	164	436
274	165	435
275	165	434
276	166	433
277	166	432
278	167	431
279	167	431
280	168	430
281	168	429
282	169	429
283	169	428
284	170	427
285	170	426
286	171	425
287	171	424
288	172	424
289	172	423
290	173	422
291	173	421
292	174	420
293	174	419
294	175	419
295	176	418
296	176	417
297	177	417
298	177	416
299	178	415
300	178	414
301	179	413
302	179	412
303	179	411
304	180	411
305	181	410
306	181	410
307	182	409
308	182	408
309	183	408
310	184	407
311	184	407
312	185	406
313	185	405
314	186	404
315	186	403
316	187	403
317	187	402
318	188	401
319	188	401
320	189	400
321	189	399
322	190	398
323	190	397
324	191	397
325	192	397
326	192	396
327	193	396
328	193	395
329	194	394
330	194	393
331	195	393
332	196	392
333	196	391
334	197	391
335	197	390
336	198	389
337	198	388
338	199	388
339	199	387
340	200	386
341	200	386
342	201	386
343	202	385
344	202	385
345	203	384
346	204	384
347	204	383
348	205	382
349	205	382
350	206	381
351	206	380
352	207	380
353	207	379
354	208	378
355	208	378
356	209	377
357	210	376
358	210	375
359	211	375
360	211	374
361	212	374
362	213	373
363	213	373
364	214	373
365	215	372
366	215	372
367	216	371
368	217	371
369	217	371
370	218	370
371	219	369
372	219	369
373	220	369
374	221	368
375	222	368
376	222	367
377	223	367
378	223	366
379	224	366
380	225	365
381	225	365
382	226	365
383	227	364
384	228	364
385	228	364
386	229	363
387	230	362
388	230	362
389	231	361
390	231	361
391	232	361
392	233	360
393	234	360
394	234	359
395	235	359
396	236	358
397	236	358
398	237	357
399	237	356
400	238	356
401	239	356
402	240	355
403	240	355
404	241	354
405	242	354
406	242	353
407	243	352
408	243	352
409	244	351
410	245	351
411	245	351
412	246	350
413	247	349
414	247	349
415	248	348
416	249	348
417	249	347
418	250	347
419	250	346
420	251	345
421	252	345
422	252	344
423	253	344
424	254	344
425	254	343
426	255	343
427	256	342
428	256	341
429	257	341
430	258	340
431	258	340
432	259	339
433	260	339
434	260	338
435	261	337
436	261	337
437	262	336
438	263	336
439	263	335
440	264	335
441	264	334
442	265	333
443	266	333
444	266	332
445	267	332
446	267	331
447	268	330
448	269	330
449	269	329
450	270	329
451	271	328
452	271	328
453	272	327
454	273	327
455	273	326
456	274	326
457	275	325
458	275	324
459	276	324
460	277	323
461	277	323
462	278	323
463	279	322
464	279	321
465	280	321
466	281	321
467	281	320
468	282	320
469	283	319
470	284	319
471	284	318
472	285	318
473	286	317
474	286	317
475	287	316
476	288	315
477	288	315
478	289	314
479	290	314
480	291	314
481	291	313
482	292	312
483	292	312
484	293	311
485	293	310
486	294	310
487	295	309
488	296	309
489	296	308
490	297	308
491	298	307
492	298	307
493	299	306
494	299	305
495	300	305
496	301	304
497	301	304
498	302	303
499	303	303
500	304	302
501	304	302
502	305	301
503	305	300
504	306	300
505	306	299
506	307	299
507	308	298
508	308	297
509	309	297
510	309	296
511	310	295
512	310	294
513	311	294
514	311	293
515	311	292
516	312	291
517	312	291
518	313	290
519	314	289
520	314	289
521	315	288
522	315	287
523	316	287
524	316	286
525	317	285
526	317	285
527	318	284
528	319	284
529	319	283
530	320	282
531	321	282
532	321	281
533	322	281
534	322	280
535	323	279
536	323	279
537	324	278
538	324	277
539	325	276
540	325	276
541	326	275
542	326	274
543	327	274
544	327	273
545	328	272
546	328	272
547	329	271
548	329	270
549	330	270
550	330	269
551	331	268
552	331	268
553	332	267
554	332	266
555	333	266
556	333	265
557	334	265
558	335	264
559	335	263
560	336	263
561	336	262
562	337	261
563	337	261
564	338	260
565	339	260
566	340	259
567	340	259
568	341	258
569	341	257
570	342	257
571	343	256
572	343	256
573	344	255
574	344	254
575	345	254
576	345	253
577	346	253
578	347	252
579	347	251
580	348	251
581	348	250
582	349	249
583	350	249
584	350	248
585	351	248
586	351	247
587	352	246
588	353	246
589	353	245
590	354	245
591	355	244
592	355	244
593	356	243
594	356	242
595	357	242
596	357	241
597	358	240
598	358	240
599	359	239
600	360	239
601	360	238
602	361	237
603	362	237
604	362	236
605	363	236
606	363	235
607	364	234
608	364	234
609	365	233
610	366	233
611	366	232
612	367	232
613	368	231
614	368	230
615	369	230
616	369	229
617	370	228
618	371	228
619	371	227
620	372	227
621	373	226
622	373	226
623	374	225
624	374	224
625	375	224
626	375	223
627	376	223
628	377	222
629	377	221
630	378	221
631	379	220
632	379	220
633	380	219
634	381	219
635	381	218
636	382	217
637	382	217
638	383	216
639	384	216
640	384	215
641	385	214
642	385	214
643	386	213
644	387	213
645	387	212
646	388	211
647	388	211
648	389	210
649	390	210
650	390	209
651	391	208
652	392	208
653	392	207
654	393	207
655	393	206
656	394	205
657	394	205
658	395	204
659	395	203
660	396	203
661	396	202
662	397	202
663	397	201
664	398	200
665	398	200
666	399	199
667	400	198
668	400	198
669	401	197
670	401	196
671	402	196
672	402	195
673	403	195
674	404	194
675	404	193
676	405	193
677	406	192
678	406	192
679	407	191
680	407	190
681	408	190
682	408	189
683	409	189
684	410	188
685	410	188
686	411	187
687	412	187
688	413	186
689	413	185
690	414	185
691	414	184
692	415	184
693	416	183
694	416	182
695	417	182
696	417	181
697	418	181
698	418	180
699	419	179
700	420	179
701	420	178
702	421	178
703	422	177
704	422	176
705	423	176
706	423	175
707	424	175
708	425	174
709	425	173
710	426	173
711	426	172
712	427	172
713	427	171
714	428	170
715	429	170
716	429	169
717	430	168
718	430	168
719	431	167
720	431	167
721	432	166
722	432	165
723	433	165
724	433	164
725	434	164
726	435	163
727	435	162
728	436	162
729	436	161
730	437	161
731	438	160
732	438	159
733	439	159
734	439	158
735	440	158
736	441	157
737	441	156
738	442	156
739	443	155
740	443	155
741	444	154
742	445	153
743	445	153
744	446	152
745	446	152
746	447	151
747	447	150
748	448	150
749	448	149
750	449	148
751	449	148
752	450	147
753	451	147
754	451	146
755	452	145
756	452	145
757	453	144
758	453	144
759	454	143
760	454	142
761	455	142
762	455	141
763	456	141
764	457	140
765	457	139
766	458	139
767	458	138
768	459	137
769	459	137
770	460	136
771	461	136
772	461	135
773	462	134
774	462	134
775	463	133
776	463	133
777	464	132
778	464	131
779	464	131
780	465	130
781	465	129
782	466	129
783	467	128
784	467	128
785	468	127
786	468	126
787	469	126
788	469	125
789	470	125
790	470	124
791	471	123
792	471	123
793	472	122
794	473	122
795	473	121
796	474	120
797	474	120
798	475	119
799	475	118
800	476	118
801	476	117
802	477	117
803	477	116
804	478	115
805	478	115
806	479	114
807	479	114
808	480	113
809	480	112
810	481	112
811	481	111
812	482	110
813	483	110
814	483	109
815	484	109
816	484	108
817	485	107
818	485	107
819	486	106
820	486	106
821	487	105
822	487	104
823	488	104
824	488	103
825	489	103
826	489	102
827	490	101
828	490	101
829	490	100
830	491	99
831	492	99
832	492	98
833	493	98
834	493	97
835	494	96
836	494	96
837	495	95
838	495	95
839	496	94
840	496	93
841	497	93
842	498	92
843	498	92
844	499	91
845	499	90
846	500	90
847	500	89
848	501	89
849	501	88
850	502	87
851	502	87
852	503	86
853	503	86
854	504	85
855	504	84
856	505	84
857	505	83
858	506	83
859	506	82
860	507	81
861	507	81
862	508	80
863	508	80
864	509	79
865	509	78
866	510	78
867	510	77
868	511	77
869	512	76
870	512	75
871	513	75
872	513	74
873	514	74
874	514	73
875	515	72
876	515	72
877	516	71
878	516	71
879	517	70
880	517	69
881	518	69
882	518	68
883	519	68
884	519	67
885	520	66
886	520	66
887	521	65
888	521	65
889	522	64
890	522	63
891	523	63
892	523	62
893	524	62
894	524	61
895	525	60
896	526	60
897	526	59
898	527	59
899	527	58
900	528	58
901	528	57
902	529	56
903	529	56
904	530	55
905	531	55
906	531	54
907	531	53
908	532	53
909	532	52
910	533	52
911	533	51
912	534	50
913	534	50
914	535	49
915	535	49
916	536	48
917	536	47
918	537	47
919	537	46
920	538	46
921	538	45
922	539	44
923	539	44
924	540	43
925	541	43
926	541	42
927	542	42
928	542	41
929	543	40
930	543	40
931	544	39
932	544	39
933	545	38
934	545	37
935	546	37
936	546	36
937	547	36
938	547	35
939	548	34
940	548	34
941	549	33
942	549	33
943	550	32
944	550	32
945	551	31
946	551	30
947	552	30
948	552	29
949	553	29
950	553	28
951	554	27
952	554	27
953	555	26
954	556	26
955	556	25
956	557	25
957	557	24
958	558	23
959	558	23
960	559	22
961	559	22
962	560	21
963	560	20
964	561	20
965	561	19
966	562	19
967	562	18
968	563	18
969	563	17
970	564	16
971	565	16
972	565	15
973	565	15
974	566	14
975	566	13
976	567	13
977	568	12
978	568	12
979	569	11
980	569	11
981	570	10
982	570	9
983	571	9
984	571	8
985	572	8
986	572	7
987	573	6
988	573	6
989	574	5
990	574	5
991	575	4
992	575	4
993	576	3
994	576	2
995	577	2
996	577	1
997	578	1
998	578	0
999	579	0
